20082D-11-01_S0_L001_megahit_output_virsorter_k141_856053||full_len:23284	gnl|BL_ORD_ID|237108 YP_009873893.1 |beta-glucosyl-HMC-alpha-glucosyltransferase [Tenacibaculum phage PTm1]	 score  :276.0	 e_val  :3.86851e-23	 q_start  :17734	 q_end  :18618	 s_start  :105	 s_end  :399	 align_len  :311
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|279112 YP_009855284.1 |DNA repair exonuclease [Flavobacterium phage vB_FspS_snusmum6-1]	 score  :745.0	 e_val  :1.02697e-85	 q_start  :7709	 q_end  :8665	 s_start  :61	 s_end  :381	 align_len  :322
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|279039 YP_009855211.1 |DNA repair exonuclease [Flavobacterium phage vB_FspS_snork6-1]	 score  :745.0	 e_val  :1.19786e-85	 q_start  :7709	 q_end  :8665	 s_start  :61	 s_end  :381	 align_len  :322
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|279184 YP_009855356.1 |DNA repair exonuclease [Flavobacterium phage vB_FspS_stinky9-1]	 score  :742.0	 e_val  :2.53687e-85	 q_start  :7709	 q_end  :8665	 s_start  :61	 s_end  :381	 align_len  :322
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|278757 YP_009854929.1 |DNA repair exonuclease [Flavobacterium phage vB_FspS_morran9-1]	 score  :742.0	 e_val  :2.53687e-85	 q_start  :7709	 q_end  :8665	 s_start  :61	 s_end  :381	 align_len  :322
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|278557 YP_009854729.1 |DNA repair exonuclease [Flavobacterium phage vB_FspS_hemulen6-1]	 score  :742.0	 e_val  :2.53687e-85	 q_start  :7709	 q_end  :8665	 s_start  :61	 s_end  :381	 align_len  :322
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|278684 YP_009854856.1 |DNA repair exonuclease [Flavobacterium phage vB_FspS_lillamy9-1]	 score  :742.0	 e_val  :3.25781e-85	 q_start  :7709	 q_end  :8665	 s_start  :61	 s_end  :381	 align_len  :322
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|617357 YP_004421457.1 |hypothetical protein S-CBS2_gp003 [Synechococcus phage S-CBS2]	 score  :739.0	 e_val  :6.81955e-85	 q_start  :7709	 q_end  :8665	 s_start  :63	 s_end  :377	 align_len  :320
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|404459 YP_009324570.1 |terminase large subunit [Flavobacterium phage Fpv6]	 score  :522.0	 e_val  :1.34765e-55	 q_start  :29026	 q_end  :30123	 s_start  :36	 s_end  :399	 align_len  :378
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|402313 YP_009322424.1 |terminase large subunit [Flavobacterium phage Fpv5]	 score  :522.0	 e_val  :1.34765e-55	 q_start  :29026	 q_end  :30123	 s_start  :36	 s_end  :399	 align_len  :378
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|402207 YP_009322318.1 |terminase large subunit [Flavobacterium phage Fpv8]	 score  :522.0	 e_val  :1.34765e-55	 q_start  :29026	 q_end  :30123	 s_start  :36	 s_end  :399	 align_len  :378
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|401141 YP_009321252.1 |terminase large subunit [Flavobacterium phage Fpv7]	 score  :522.0	 e_val  :1.34765e-55	 q_start  :29026	 q_end  :30123	 s_start  :36	 s_end  :399	 align_len  :378
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|405147 YP_009325258.1 |terminase large subunit [Flavobacterium phage Fpv11]	 score  :509.0	 e_val  :8.17614e-54	 q_start  :29026	 q_end  :30123	 s_start  :36	 s_end  :401	 align_len  :380
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|403607 YP_009323718.1 |terminase large subunit [Flavobacterium phage Fpv10]	 score  :509.0	 e_val  :8.17614e-54	 q_start  :29026	 q_end  :30123	 s_start  :36	 s_end  :401	 align_len  :380
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|604140 YP_006560419.1 |hypothetical protein B618_gp20 [Nonlabens phage P12024L]	 score  :416.0	 e_val  :4.5804e-44	 q_start  :5602	 q_end  :6231	 s_start  :7	 s_end  :193	 align_len  :210
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|605031 YP_006546303.1 |PBSX family terminase large subunit [Thermoanaerobacterium phage THSA-485A]	 score  :412.0	 e_val  :5.11344e-41	 q_start  :29059	 q_end  :30021	 s_start  :58	 s_end  :387	 align_len  :337
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|604080 YP_006560359.1 |hypothetical protein B617_gp19 [Nonlabens phage P12024S]	 score  :388.0	 e_val  :1.19952e-40	 q_start  :5602	 q_end  :6165	 s_start  :6	 s_end  :175	 align_len  :188
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|554966 YP_008241822.1 |phage terminase large subunit [Cellulophaga phage phi46:1]	 score  :407.0	 e_val  :3.02364e-40	 q_start  :29062	 q_end  :30147	 s_start  :20	 s_end  :400	 align_len  :398
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|583922 YP_007006770.1 |gp163 [Sphingomonas phage PAU]	 score  :382.0	 e_val  :5.04306e-37	 q_start  :7715	 q_end  :8740	 s_start  :50	 s_end  :408	 align_len  :366
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|78827 YP_010649865.1 |terminase large subunit [Vibrio phage vB_VpP_BT-1011]	 score  :360.0	 e_val  :2.59627e-34	 q_start  :29056	 q_end  :30012	 s_start  :46	 s_end  :377	 align_len  :339
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|585541 YP_007237242.1 |putative terminase large subunit [Clostridium phage phi8074-B1]	 score  :356.0	 e_val  :1.07938e-33	 q_start  :29059	 q_end  :30015	 s_start  :59	 s_end  :393	 align_len  :339
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|279162 YP_009855334.1 |terminase large subunit [Flavobacterium phage vB_FspS_snusmum6-1]	 score  :342.0	 e_val  :4.56037e-32	 q_start  :29059	 q_end  :30186	 s_start  :3	 s_end  :386	 align_len  :405
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|279229 YP_009855401.1 |terminase large subunit [Flavobacterium phage vB_FspS_stinky9-1]	 score  :342.0	 e_val  :5.45024e-32	 q_start  :29059	 q_end  :30186	 s_start  :3	 s_end  :386	 align_len  :411
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|279017 YP_009855189.1 |terminase large subunit [Flavobacterium phage vB_FspS_sniff9-1]	 score  :342.0	 e_val  :5.45024e-32	 q_start  :29059	 q_end  :30186	 s_start  :3	 s_end  :386	 align_len  :411
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|278808 YP_009854980.1 |terminase large subunit [Flavobacterium phage vB_FspS_morran9-1]	 score  :342.0	 e_val  :5.45024e-32	 q_start  :29059	 q_end  :30186	 s_start  :3	 s_end  :386	 align_len  :411
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|278735 YP_009854907.1 |terminase large subunit [Flavobacterium phage vB_FspS_lillamy9-1]	 score  :342.0	 e_val  :5.45024e-32	 q_start  :29059	 q_end  :30186	 s_start  :3	 s_end  :386	 align_len  :411
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|278535 YP_009854707.1 |terminase large subunit [Flavobacterium phage vB_FspS_hattifnatt9-1]	 score  :342.0	 e_val  :5.93039e-32	 q_start  :29059	 q_end  :30186	 s_start  :3	 s_end  :386	 align_len  :405
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|604067 YP_006560346.1 |phage portal protein [Nonlabens phage P12024S]	 score  :348.0	 e_val  :1.13139e-31	 q_start  :15481	 q_end  :16551	 s_start  :1	 s_end  :347	 align_len  :364
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|278459 YP_009854631.1 |terminase large subunit [Flavobacterium phage vB_FspS_filifjonk9-1]	 score  :339.0	 e_val  :1.16509e-31	 q_start  :29059	 q_end  :30186	 s_start  :3	 s_end  :386	 align_len  :411
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|604126 YP_006560405.1 |phage portal protein [Nonlabens phage P12024L]	 score  :344.0	 e_val  :3.24065e-31	 q_start  :15481	 q_end  :16551	 s_start  :1	 s_end  :347	 align_len  :364
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|514932 YP_009045137.1 |Mom-like DNA modification protein [Listeria phage LP-114]	 score  :316.0	 e_val  :1.85191e-30	 q_start  :2512	 q_end  :3210	 s_start  :4	 s_end  :214	 align_len  :237
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|513957 YP_009044162.1 |hypothetical protein LP026_077 [Listeria phage LP-026]	 score  :316.0	 e_val  :1.962e-30	 q_start  :2512	 q_end  :3210	 s_start  :4	 s_end  :214	 align_len  :237
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|426434 YP_009273325.1 |DNA repair exonuclease [Bacillus phage vB_BhaS-171]	 score  :326.0	 e_val  :9.114e-30	 q_start  :7736	 q_end  :8704	 s_start  :100	 s_end  :409	 align_len  :326
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|299321 YP_009793335.1 |DNA modification protein Mom-like protein [Listeria phage LMTA-57]	 score  :309.0	 e_val  :1.45215e-29	 q_start  :2512	 q_end  :3210	 s_start  :4	 s_end  :214	 align_len  :238
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|539823 YP_008770566.1 |Mom-like DNA modification protein [Bacillus phage Riggi]	 score  :308.0	 e_val  :2.1406e-29	 q_start  :2572	 q_end  :3210	 s_start  :4	 s_end  :192	 align_len  :218
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|503712 YP_009098683.1 |hypothetical protein LDB17_024 [Lactobacillus phage Ld17]	 score  :305.0	 e_val  :2.76531e-29	 q_start  :6799	 q_end  :7134	 s_start  :14	 s_end  :125	 align_len  :112
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|655076 YP_001468558.1 |Mom-like DNA modification protein [Listeria phage A511]	 score  :307.0	 e_val  :2.79352e-29	 q_start  :2512	 q_end  :3210	 s_start  :4	 s_end  :214	 align_len  :238
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|515115 YP_009043001.1 |Mom-like DNA modification protein [Listeria phage LMSP-25]	 score  :307.0	 e_val  :2.93119e-29	 q_start  :2512	 q_end  :3210	 s_start  :4	 s_end  :214	 align_len  :238
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|367649 YP_009616119.1 |Mom-like DNA modification protein [Listeria phage LMTA-34]	 score  :307.0	 e_val  :2.93119e-29	 q_start  :2512	 q_end  :3210	 s_start  :4	 s_end  :214	 align_len  :238
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|299491 YP_009793505.1 |DNA modification protein Mom-like protein [Listeria phage LMTA-94]	 score  :307.0	 e_val  :2.93119e-29	 q_start  :2512	 q_end  :3210	 s_start  :4	 s_end  :214	 align_len  :238
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|2336 YP_010843674.1 |Mom-like DNA modification protein [Listeria phage WIL-1]	 score  :307.0	 e_val  :2.93119e-29	 q_start  :2512	 q_end  :3210	 s_start  :4	 s_end  :214	 align_len  :238
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|514256 YP_009044461.1 |Mom-like DNA modification protein [Listeria phage LP-083-2]	 score  :305.0	 e_val  :5.17075e-29	 q_start  :2512	 q_end  :3210	 s_start  :4	 s_end  :214	 align_len  :238
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|290613 YP_009784627.1 |DNA modification protein Mom-like protein [Listeria phage LP-124]	 score  :305.0	 e_val  :5.17075e-29	 q_start  :2512	 q_end  :3210	 s_start  :4	 s_end  :214	 align_len  :238
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|557956 YP_008239979.1 |DNA modification protein Mom-like protein [Listeria phage LP-125]	 score  :305.0	 e_val  :5.63839e-29	 q_start  :2512	 q_end  :3210	 s_start  :4	 s_end  :214	 align_len  :238
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|344068 YP_009592538.1 |Mom-like DNA modification protein [Listeria phage LP-064]	 score  :305.0	 e_val  :5.63839e-29	 q_start  :2512	 q_end  :3210	 s_start  :4	 s_end  :214	 align_len  :238
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|541624 YP_008859602.1 |hypothetical protein X813_gp24 [Lactobacillus phage LL-Ku]	 score  :299.0	 e_val  :1.25409e-28	 q_start  :6799	 q_end  :7134	 s_start  :14	 s_end  :125	 align_len  :112
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|539142 YP_008770191.1 |hypothetical protein phiLdb_00026 [Lactobacillus phage phiLdb]	 score  :300.0	 e_val  :2.08036e-28	 q_start  :6799	 q_end  :7134	 s_start  :14	 s_end  :125	 align_len  :112
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|594532 YP_007002364.1 |hypothetical protein F368_gp25 [Lactobacillus phage c5]	 score  :299.0	 e_val  :2.57526e-28	 q_start  :6799	 q_end  :7134	 s_start  :14	 s_end  :125	 align_len  :112
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|463978 YP_009216669.1 |terminase large subunit (endogenous virus) [Clostridium phage phiCT453A]	 score  :311.0	 e_val  :7.66702e-28	 q_start  :29062	 q_end  :29898	 s_start  :100	 s_end  :398	 align_len  :304
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|554903 YP_008241759.1 |phage terminase large subunit [Cellulophaga phage phi19:1]	 score  :310.0	 e_val  :2.0837e-27	 q_start  :29056	 q_end  :30186	 s_start  :3	 s_end  :457	 align_len  :472
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|642591 YP_002265410.1 |terminase large subunit [Clostridium phage phiCP39-O]	 score  :306.0	 e_val  :3.42102e-27	 q_start  :29053	 q_end  :30126	 s_start  :37	 s_end  :408	 align_len  :384
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|503388 YP_009097903.1 |hypothetical protein LDB25A_024 [Lactobacillus phage Ld25A]	 score  :282.0	 e_val  :5.32541e-26	 q_start  :6808	 q_end  :7134	 s_start  :14	 s_end  :122	 align_len  :109
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|278875 YP_009855047.1 |terminase large subunit [Flavobacterium phage vB_FspS_mumin9-1]	 score  :295.0	 e_val  :1.29382e-25	 q_start  :29059	 q_end  :30186	 s_start  :1	 s_end  :429	 align_len  :456
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|278605 YP_009854777.1 |terminase large subunit [Flavobacterium phage vB_FspS_hemulen6-1]	 score  :295.0	 e_val  :1.29382e-25	 q_start  :29059	 q_end  :30186	 s_start  :1	 s_end  :429	 align_len  :456
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|279090 YP_009855262.1 |terminase large subunit [Flavobacterium phage vB_FspS_snork6-1]	 score  :294.0	 e_val  :1.55496e-25	 q_start  :29059	 q_end  :30186	 s_start  :1	 s_end  :429	 align_len  :456
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|279358 YP_009855530.1 |terminase large subunit [Flavobacterium phage vB_FspS_tooticki6-1]	 score  :294.0	 e_val  :1.70465e-25	 q_start  :29059	 q_end  :30186	 s_start  :1	 s_end  :429	 align_len  :456
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|278943 YP_009855115.1 |terminase large subunit [Flavobacterium phage vB_FspS_mymlan6-1]	 score  :293.0	 e_val  :1.9929e-25	 q_start  :29059	 q_end  :30186	 s_start  :1	 s_end  :429	 align_len  :456
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|682406 NP_958532.1 |PBSX family terminase large subunit [Lactobacillus prophage Lj928]	 score  :291.0	 e_val  :3.25317e-25	 q_start  :29056	 q_end  :29874	 s_start  :113	 s_end  :404	 align_len  :298
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|435906 YP_009223103.1 |terminase large subunit [Lactobacillus phage LfeSau]	 score  :291.0	 e_val  :3.44968e-25	 q_start  :29059	 q_end  :30174	 s_start  :18	 s_end  :401	 align_len  :396
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|553717 YP_008240573.1 |terminase large subunit [Listeria phage LP-037]	 score  :292.0	 e_val  :3.67649e-25	 q_start  :29059	 q_end  :29874	 s_start  :113	 s_end  :427	 align_len  :319
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|513979 YP_009044184.1 |terminase large subunit [Listeria phage LP-026]	 score  :292.0	 e_val  :3.67649e-25	 q_start  :29059	 q_end  :29874	 s_start  :113	 s_end  :427	 align_len  :319
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|600354 YP_006905872.1 |terminase large subunit [Listeria phage P70]	 score  :291.0	 e_val  :4.06658e-25	 q_start  :29059	 q_end  :29874	 s_start  :113	 s_end  :427	 align_len  :319
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|553576 YP_008240431.1 |terminase large subunit [Listeria phage LP-110]	 score  :291.0	 e_val  :4.06658e-25	 q_start  :29059	 q_end  :29874	 s_start  :113	 s_end  :427	 align_len  :319
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|514953 YP_009045158.1 |terminase large subunit [Listeria phage LP-114]	 score  :291.0	 e_val  :4.06658e-25	 q_start  :29059	 q_end  :29874	 s_start  :113	 s_end  :427	 align_len  :319
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|673007 YP_239566.1 |terminase large subunit [Staphylococcus phage 69]	 score  :284.0	 e_val  :3.9389e-24	 q_start  :29062	 q_end  :30048	 s_start  :78	 s_end  :420	 align_len  :348
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|36962 YP_010805959.1 |hypothetical protein QKV93_gp23 [Yangshan Harbor Nitrososphaeria virus]	 score  :268.0	 e_val  :4.93662e-24	 q_start  :2590	 q_end  :3228	 s_start  :1	 s_end  :218	 align_len  :231
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|663328 YP_873987.1 |terminase large subunit [Staphylococcus phage phinm1]	 score  :280.0	 e_val  :8.84364e-24	 q_start  :29062	 q_end  :30048	 s_start  :56	 s_end  :398	 align_len  :348
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|456338 YP_009209013.1 |terminase large subunit [Staphylococcus phage phinm2]	 score  :280.0	 e_val  :8.84364e-24	 q_start  :29062	 q_end  :30048	 s_start  :56	 s_end  :398	 align_len  :348
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|453645 YP_009206301.1 |terminase large subunit [Bacillus phage phi4B1]	 score  :280.0	 e_val  :9.48298e-24	 q_start  :29029	 q_end  :29979	 s_start  :67	 s_end  :423	 align_len  :359
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|555029 YP_008241885.1 |terminase large subunit [Staphylococcus phage SA12]	 score  :279.0	 e_val  :1.03383e-23	 q_start  :29062	 q_end  :30048	 s_start  :56	 s_end  :398	 align_len  :348
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|172968 YP_010079745.1 |PBSX family terminase large subunit [Staphylococcus phage SP5]	 score  :279.0	 e_val  :1.03383e-23	 q_start  :29062	 q_end  :30048	 s_start  :56	 s_end  :398	 align_len  :348
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|172804 YP_010079581.1 |terminase large subunit [Staphylococcus phage SA75]	 score  :279.0	 e_val  :1.03383e-23	 q_start  :29062	 q_end  :30048	 s_start  :56	 s_end  :398	 align_len  :348
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|172744 YP_010079521.1 |terminase large subunit [Staphylococcus phage HSA84]	 score  :279.0	 e_val  :1.03383e-23	 q_start  :29062	 q_end  :30048	 s_start  :56	 s_end  :398	 align_len  :348
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|607221 YP_006382289.1 |PBSX family terminase large subunit [Staphylococcus phage TEM123]	 score  :279.0	 e_val  :1.08242e-23	 q_start  :29062	 q_end  :30048	 s_start  :56	 s_end  :398	 align_len  :348
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|173006 YP_010079783.1 |PBSX family terminase large subunit [Staphylococcus phage TEM126]	 score  :279.0	 e_val  :1.08242e-23	 q_start  :29062	 q_end  :30048	 s_start  :56	 s_end  :398	 align_len  :348
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|690852 NP_803283.1 |terminase large subunit [Staphylococcus phage phi 11]	 score  :280.0	 e_val  :1.22329e-23	 q_start  :29062	 q_end  :30048	 s_start  :78	 s_end  :420	 align_len  :348
20082D-11-01_S0_L001_megahit_output_virsorter_k141_2352418||full_len:30616	gnl|BL_ORD_ID|672930 YP_239489.1 |terminase large subunit [Staphylococcus phage 187]	 score  :279.0	 e_val  :1.6324e-23	 q_start  :29056	 q_end  :30048	 s_start  :78	 s_end  :422	 align_len  :354
